id,year,month,day,amount,origin,category,subcategory,description,label
1,2017,September,15,6.99,spotify,expenses,entertainment,,entertainment
2,2017,September,15,13.99,netflix,expenses,entertainment,,entertainment
3,2017,September,1,315,home,expenses,rent,,rent
4,2017,September,1,1500,work,income,salary,,salary
5,2017,September,20,210,,savings,investments,,investments
6,2017,September,20,500,home,expenses,groceries,,groceries
7,2017,October,1,315,home,expenses,rent,,rent
8,2017,October,1,1500,work,income,salary,,salary
9,2017,October,15,6.99,spotify,expenses,entertainment,,entertainment
10,2017,October,15,13.99,netflix,expenses,entertainment,,entertainment
11,2017,October,20,350,home,expenses,groceries,,groceries
12,2017,October,25,300,,expenses,personal,xmas gifts,personal
13,2017,November,1,315,home,expenses,rent,,rent
14,2017,November,1,1500,work,income,salary,,salary
15,2017,November,15,6.99,spotify,expenses,entertainment,,entertainment
16,2017,November,15,13.99,netflix,expenses,entertainment,,entertainment
17,2017,November,20,230,home,expenses,groceries,,groceries
18,2017,November,25,25,,expenses,medical,,medical
19,2017,December,20,310,home,expenses,groceries,,groceries
20,2017,December,1,315,home,expenses,rent,,rent
21,2017,December,1,1500,work,income,salary,,salary
22,2017,December,15,6.99,spotify,expenses,entertainment,,entertainment
23,2017,December,15,13.99,netflix,expenses,entertainment,,entertainment
24,2017,December,25,250,gift,income,other,xmas money,other
25,2017,December,20,200,,savings,savings,pension,savings
